mouse,session,geno,trial,result,,
Mouse13,1,Last20,190,1,,
Mouse13,1,Last20,191,0,,
Mouse13,1,Last20,192,0,,
Mouse13,2,First20,1,1,,
Mouse13,2,First20,2,1,,
Mouse13,2,First20,3,1,,
Mouse13,2,First20,4,0,,
Mouse13,2,First20,5,1,,
Mouse13,2,First20,6,1,,
Mouse13,2,First20,7,1,,
Mouse13,2,First20,8,0,,
Mouse13,2,First20,9,1,,
Mouse13,2,First20,10,0,,
Mouse13,2,First20,11,1,,
Mouse13,2,First20,12,0,,
Mouse13,2,First20,13,1,,
Mouse13,2,First20,14,0,,
Mouse13,2,First20,15,0,,
Mouse13,2,First20,16,0,,
Mouse13,2,First20,17,0,,
Mouse13,2,First20,18,1,,
Mouse13,2,First20,19,1,,
Mouse13,2,First20,20,0,,
Mouse13,2,Last20,168,0,,
Mouse13,2,Last20,169,0,,
Mouse13,2,Last20,170,0,,
Mouse13,2,Last20,171,1,,
Mouse13,2,Last20,172,1,,
Mouse13,2,Last20,173,0,,
Mouse13,2,Last20,174,0,,
Mouse13,2,Last20,175,0,,
Mouse13,2,Last20,176,1,,
Mouse13,2,Last20,177,1,,
Mouse13,2,Last20,178,0,,
Mouse13,2,Last20,179,1,,
Mouse13,2,Last20,180,1,,
Mouse13,2,Last20,181,0,,
Mouse13,2,Last20,182,0,,
Mouse13,2,Last20,183,1,,
Mouse13,2,Last20,184,0,,
Mouse13,2,Last20,185,0,,
Mouse13,2,Last20,186,0,,
Mouse13,2,Last20,187,0,,
Mouse13,3,First20,1,0,,
Mouse13,3,First20,2,1,,
Mouse13,3,First20,3,0,,
Mouse13,3,First20,4,1,,
Mouse13,3,First20,5,0,,
Mouse13,3,First20,6,1,,
Mouse13,3,First20,7,0,,
Mouse13,3,First20,8,1,,
Mouse13,3,First20,9,0,,
Mouse13,3,First20,10,0,,
Mouse13,3,First20,11,0,,
Mouse13,3,First20,12,1,,
Mouse13,3,First20,13,0,,
Mouse13,3,First20,14,0,,
Mouse13,3,First20,15,1,,
Mouse13,3,First20,16,0,,
Mouse13,3,First20,17,0,,
Mouse13,3,First20,18,1,,
Mouse13,3,First20,19,0,,
Mouse13,3,First20,20,0,,
Mouse13,3,Last20,193,0,,
Mouse13,3,Last20,194,1,,
Mouse13,3,Last20,195,1,,
Mouse13,3,Last20,196,1,,
Mouse13,3,Last20,197,1,,
Mouse13,3,Last20,198,1,,
Mouse13,3,Last20,199,0,,
Mouse13,3,Last20,200,0,,
Mouse13,3,Last20,201,0,,
Mouse13,3,Last20,202,1,,
Mouse13,3,Last20,203,1,,
Mouse13,3,Last20,204,0,,
Mouse13,3,Last20,205,1,,
Mouse13,3,Last20,206,1,,
Mouse13,3,Last20,207,1,,
Mouse13,3,Last20,208,1,,
Mouse13,3,Last20,209,1,,
Mouse13,3,Last20,210,0,,
Mouse13,3,Last20,211,0,,
Mouse13,3,Last20,212,0,,
Mouse14,1,First20,1,1,,
Mouse14,1,First20,2,0,,
Mouse14,1,First20,3,1,,
Mouse14,1,First20,4,0,,
Mouse14,1,First20,5,1,,
Mouse14,1,First20,6,1,,
Mouse14,1,First20,7,1,,
Mouse14,1,First20,8,1,,
Mouse14,1,First20,9,1,,
Mouse14,1,First20,10,1,,
Mouse14,1,First20,11,0,,
Mouse14,1,First20,12,1,,
Mouse14,1,First20,13,0,,
Mouse14,1,First20,14,1,,
Mouse14,1,First20,15,0,,
Mouse14,1,First20,16,1,,
Mouse14,1,First20,17,0,,
Mouse14,1,First20,18,0,,
Mouse14,1,First20,19,0,,
Mouse14,1,First20,20,0,,
Mouse14,1,Last20,225,0,,
Mouse14,1,Last20,226,0,,
Mouse14,1,Last20,227,0,,
Mouse14,1,Last20,228,0,,
Mouse14,1,Last20,229,1,,
Mouse14,1,Last20,230,0,,
Mouse14,1,Last20,231,0,,
Mouse14,1,Last20,232,1,,
Mouse14,1,Last20,233,1,,
Mouse14,1,Last20,234,1,,
Mouse14,1,Last20,235,1,,
Mouse14,1,Last20,236,1,,
Mouse14,1,Last20,237,1,,
Mouse14,1,Last20,238,0,,
Mouse14,1,Last20,239,1,,
Mouse14,1,Last20,240,0,,
