mouse,session,geno,trial,result,,
Mouse7,1,First20,20,0,,
Mouse7,1,Last20,165,1,,
Mouse7,1,Last20,166,0,,
Mouse7,1,Last20,167,0,,
Mouse7,1,Last20,168,0,,
Mouse7,1,Last20,169,1,,
Mouse7,1,Last20,170,1,,
Mouse7,1,Last20,171,1,,
Mouse7,1,Last20,172,1,,
Mouse7,1,Last20,173,0,,
Mouse7,1,Last20,174,1,,
Mouse7,1,Last20,175,1,,
Mouse7,1,Last20,176,1,,
Mouse7,1,Last20,177,0,,
Mouse7,1,Last20,178,1,,
Mouse7,1,Last20,179,0,,
Mouse7,1,Last20,180,1,,
Mouse7,1,Last20,181,1,,
Mouse7,1,Last20,182,0,,
Mouse7,1,Last20,183,0,,
Mouse7,1,Last20,184,0,,
Mouse7,2,First20,1,0,,
Mouse7,2,First20,2,0,,
Mouse7,2,First20,3,1,,
Mouse7,2,First20,4,0,,
Mouse7,2,First20,5,0,,
Mouse7,2,First20,6,0,,
Mouse7,2,First20,7,1,,
Mouse7,2,First20,8,1,,
Mouse7,2,First20,9,0,,
Mouse7,2,First20,10,0,,
Mouse7,2,First20,11,0,,
Mouse7,2,First20,12,1,,
Mouse7,2,First20,13,1,,
Mouse7,2,First20,14,1,,
Mouse7,2,First20,15,1,,
Mouse7,2,First20,16,1,,
Mouse7,2,First20,17,1,,
Mouse7,2,First20,18,1,,
Mouse7,2,First20,19,1,,
Mouse7,2,First20,20,0,,
Mouse7,2,Last20,179,0,,
Mouse7,2,Last20,180,1,,
Mouse7,2,Last20,181,0,,
Mouse7,2,Last20,182,1,,
Mouse7,2,Last20,183,1,,
Mouse7,2,Last20,184,1,,
Mouse7,2,Last20,185,1,,
Mouse7,2,Last20,186,0,,
Mouse7,2,Last20,187,0,,
Mouse7,2,Last20,188,0,,
Mouse7,2,Last20,189,0,,
Mouse7,2,Last20,190,1,,
Mouse7,2,Last20,191,1,,
Mouse7,2,Last20,192,1,,
Mouse7,2,Last20,193,0,,
Mouse7,2,Last20,194,1,,
