mouse,session,trial,result
Mouse1,5,71,1
Mouse1,5,72,1
Mouse1,5,73,1
Mouse1,5,74,1
Mouse1,5,75,1
Mouse1,5,76,0
Mouse1,5,77,1
Mouse1,5,78,1
Mouse1,5,79,1
Mouse1,5,80,0
Mouse1,5,81,1
Mouse1,5,82,1
Mouse1,5,83,1
Mouse1,5,84,1
Mouse1,5,85,0
Mouse1,5,86,1
Mouse1,5,87,1
Mouse1,5,88,1
Mouse1,5,89,1
Mouse1,5,90,0
Mouse1,5,91,1
Mouse1,5,92,1
Mouse1,5,93,1
Mouse1,5,94,1
Mouse1,5,95,1
Mouse1,5,96,0
Mouse1,5,97,1
Mouse1,5,98,1
Mouse1,5,99,0
Mouse1,5,100,1
Mouse1,5,101,1
Mouse1,5,102,1
Mouse1,5,103,0
Mouse1,5,104,0
Mouse1,5,105,1
Mouse1,5,106,1
Mouse1,5,107,1
Mouse1,5,108,1
Mouse2,1,1,1
Mouse2,1,2,0
Mouse2,1,3,0
Mouse2,1,4,0
Mouse2,1,5,0
Mouse2,1,6,0
Mouse2,1,7,0
Mouse2,1,8,1
Mouse2,1,9,1
Mouse2,1,10,1
Mouse2,1,11,0
Mouse2,1,12,1
Mouse2,1,13,1
Mouse2,1,14,0
Mouse2,1,15,1
Mouse2,1,16,0
Mouse2,1,17,1
Mouse2,1,18,1
Mouse2,1,19,1
Mouse2,1,20,1
Mouse2,1,21,0
Mouse2,1,22,1
Mouse2,1,23,0
Mouse2,1,24,1
Mouse2,1,25,0
Mouse2,1,26,0
Mouse2,1,27,0
Mouse2,1,28,0
Mouse2,1,29,0
Mouse2,1,30,0
Mouse2,1,31,0
Mouse2,1,32,1
Mouse2,1,33,1
Mouse2,1,34,0
Mouse2,1,35,1
Mouse2,1,36,1
Mouse2,1,37,0
Mouse2,1,38,1
Mouse2,1,39,0
Mouse2,1,40,0
Mouse2,1,41,0
Mouse2,1,42,0
Mouse2,1,43,0
Mouse2,1,44,1
Mouse2,1,45,0
Mouse2,1,46,0
Mouse2,1,47,0
Mouse2,1,48,0
Mouse2,1,49,1
Mouse2,1,50,0
Mouse2,1,51,1
Mouse2,1,52,1
Mouse2,1,53,0
Mouse2,1,54,1
Mouse2,1,55,0
Mouse2,1,56,0
Mouse2,1,57,1
Mouse2,1,58,1
Mouse2,1,59,1
Mouse2,1,60,1
Mouse2,1,61,1
Mouse2,1,62,1
Mouse2,1,63,0
Mouse2,1,64,1
Mouse2,1,65,1
Mouse2,1,66,0
Mouse2,1,67,1
Mouse2,1,68,1
Mouse2,1,69,1
Mouse2,1,70,0
Mouse2,1,71,0
Mouse2,1,72,0
Mouse2,1,73,0
Mouse2,1,74,0
Mouse2,1,75,0
Mouse2,1,76,1
Mouse2,1,77,0
Mouse2,1,78,0
Mouse2,1,79,0
Mouse2,1,80,0
Mouse2,1,81,1
Mouse2,1,82,1
Mouse2,1,83,0
Mouse2,1,84,1
Mouse2,1,85,0
Mouse2,1,86,1
Mouse2,1,87,1
Mouse2,1,88,1
Mouse2,1,89,0
Mouse2,1,90,1
Mouse2,1,91,0
Mouse2,1,92,1
Mouse2,1,93,0
Mouse2,1,94,0
Mouse2,1,95,1
Mouse2,1,96,1
Mouse2,1,97,0
Mouse2,1,98,1
Mouse2,1,99,1
Mouse2,1,100,1
Mouse2,1,101,0
Mouse2,1,102,1
Mouse2,1,103,1
Mouse2,1,104,1
Mouse2,1,105,1
Mouse2,1,106,1
Mouse2,1,107,0
Mouse2,1,108,1
Mouse2,1,109,1
Mouse2,1,110,1
Mouse2,1,111,0
Mouse2,1,112,1
Mouse2,1,113,0
Mouse2,1,114,0
Mouse2,1,115,0
Mouse2,1,116,0
Mouse2,1,117,0
Mouse2,1,118,1
Mouse2,1,119,0
Mouse2,1,120,1
Mouse2,1,121,1
Mouse2,1,122,1
Mouse2,1,123,1
Mouse2,1,124,1
Mouse2,1,125,1
Mouse2,1,126,0
Mouse2,1,127,1
Mouse2,1,128,1
Mouse2,1,129,1
Mouse2,1,130,1
Mouse2,1,131,0
Mouse2,1,132,1
Mouse2,1,133,1
Mouse2,1,134,0
Mouse2,1,135,0
Mouse2,1,136,1
Mouse2,1,137,1
Mouse2,1,138,1
Mouse2,1,139,1
Mouse2,1,140,1
Mouse2,1,141,0
Mouse2,1,142,1
Mouse2,1,143,1
Mouse2,1,144,1
Mouse2,1,145,0
Mouse2,1,146,1
Mouse2,1,147,1
Mouse2,2,1,0
Mouse2,2,2,1
Mouse2,2,3,1
Mouse2,2,4,0
Mouse2,2,5,1
Mouse2,2,6,1
Mouse2,2,7,0
Mouse2,2,8,0
Mouse2,2,9,1
Mouse2,2,10,1
Mouse2,2,11,0
Mouse2,2,12,1
Mouse2,2,13,0
Mouse2,2,14,0
Mouse2,2,15,1
Mouse2,2,16,1
Mouse2,2,17,1
Mouse2,2,18,0
Mouse2,2,19,1
Mouse2,2,20,1
Mouse2,2,21,0
Mouse2,2,22,1
Mouse2,2,23,0
Mouse2,2,24,1
Mouse2,2,25,1
Mouse2,2,26,0
Mouse2,2,27,1
Mouse2,2,28,0
Mouse2,2,29,1
Mouse2,2,30,1
Mouse2,2,31,1
Mouse2,2,32,1
Mouse2,2,33,1
Mouse2,2,34,1
Mouse2,2,35,1
Mouse2,2,36,1
Mouse2,2,37,1
Mouse2,2,38,1
Mouse2,2,39,1
Mouse2,2,40,1
Mouse2,2,41,1
Mouse2,2,42,0
Mouse2,2,43,1
Mouse2,2,44,1
Mouse2,2,45,0
Mouse2,2,46,1
Mouse2,2,47,0
Mouse2,2,48,1
Mouse2,2,49,1
Mouse2,2,50,1
Mouse2,2,51,1
Mouse2,2,52,1
Mouse2,2,53,1
Mouse2,2,54,0
Mouse2,2,55,0
Mouse2,2,56,0
Mouse2,2,57,1
Mouse2,2,58,1
Mouse2,2,59,0
Mouse2,2,60,1
Mouse2,2,61,0
Mouse2,2,62,1
Mouse2,2,63,1
Mouse2,2,64,0
Mouse2,2,65,0
Mouse2,2,66,1
Mouse2,2,67,0
Mouse2,2,68,0
Mouse2,2,69,0
Mouse2,2,70,1
Mouse2,2,71,0
Mouse2,2,72,1
Mouse2,2,73,0
Mouse2,2,74,1
Mouse2,2,75,1
Mouse2,2,76,1
Mouse2,2,77,0
Mouse2,2,78,1
Mouse2,2,79,1
Mouse2,2,80,1
Mouse2,2,81,0
Mouse2,2,82,1
Mouse2,2,83,1
Mouse2,2,84,0
Mouse2,2,85,1
Mouse2,2,86,1
Mouse2,2,87,1
Mouse2,2,88,1
Mouse2,2,89,0
Mouse2,2,90,1
Mouse2,2,91,1
Mouse2,2,92,1
Mouse2,2,93,0
Mouse2,2,94,0
Mouse2,2,95,0
Mouse2,2,96,1
Mouse2,2,97,0
Mouse2,2,98,0
Mouse2,2,99,0
Mouse2,2,100,1
Mouse2,2,101,1
Mouse2,2,102,1
Mouse2,2,103,0
Mouse2,2,104,1
Mouse2,2,105,1
Mouse2,2,106,0
Mouse2,2,107,1
Mouse2,2,108,1
Mouse2,2,109,0
Mouse2,2,110,0
Mouse2,2,111,1
Mouse2,2,112,0
Mouse2,2,113,1
Mouse2,2,114,1
Mouse2,2,115,1
Mouse2,2,116,0
Mouse2,2,117,0
Mouse2,2,118,0
Mouse2,2,119,0
Mouse2,2,120,1
Mouse2,2,121,1
Mouse2,2,122,1
Mouse2,2,123,0
Mouse2,2,124,0
Mouse2,2,125,1
Mouse2,2,126,1
Mouse2,2,127,1
Mouse2,2,128,1
Mouse2,3,1,1
Mouse2,3,2,1
Mouse2,3,3,0
Mouse2,3,4,0
Mouse2,3,5,1
Mouse2,3,6,0
Mouse2,3,7,0
Mouse2,3,8,1
Mouse2,3,9,1
Mouse2,3,10,0
Mouse2,3,11,1
Mouse2,3,12,1
Mouse2,3,13,1
Mouse2,3,14,0
Mouse2,3,15,1
Mouse2,3,16,1
Mouse2,3,17,0
Mouse2,3,18,1
Mouse2,3,19,0
Mouse2,3,20,1
Mouse2,3,21,1
Mouse2,3,22,0
Mouse2,3,23,1
Mouse2,3,24,1
Mouse2,3,25,1
Mouse2,3,26,0
Mouse2,3,27,0
Mouse2,3,28,0
Mouse2,3,29,1
Mouse2,3,30,1
Mouse2,3,31,1
Mouse2,3,32,0
Mouse2,3,33,0
Mouse2,3,34,1
Mouse2,3,35,1
Mouse2,3,36,0
Mouse2,3,37,1
Mouse2,3,38,0
Mouse2,3,39,1
Mouse2,3,40,0
Mouse2,3,41,1
Mouse2,3,42,1
Mouse2,3,43,1
Mouse2,3,44,0
Mouse2,3,45,1
Mouse2,3,46,0
Mouse2,3,47,0
Mouse2,3,48,1
Mouse2,3,49,1
Mouse2,3,50,0
Mouse2,3,51,0
Mouse2,3,52,1
Mouse2,3,53,1
Mouse2,3,54,0
Mouse2,3,55,1
Mouse2,3,56,0
Mouse2,3,57,0
Mouse2,3,58,1
Mouse2,3,59,1
Mouse2,3,60,1
Mouse2,3,61,1
Mouse2,3,62,0
Mouse2,3,63,0
Mouse2,3,64,1
Mouse2,3,65,1
Mouse2,3,66,1
Mouse2,3,67,1
Mouse2,3,68,0
Mouse2,3,69,0
Mouse2,3,70,0
Mouse2,3,71,1
Mouse2,3,72,1
Mouse2,3,73,1
Mouse2,3,74,1
Mouse2,3,75,0
Mouse2,3,76,1
Mouse2,3,77,0
Mouse2,3,78,1
Mouse2,3,79,0
Mouse2,3,80,1
Mouse2,3,81,0
Mouse2,3,82,1
Mouse2,3,83,1
Mouse2,3,84,1
Mouse2,3,85,1
Mouse2,3,86,1
Mouse2,3,87,1
Mouse2,3,88,1
Mouse2,3,89,1
Mouse2,3,90,1
Mouse2,3,91,1
Mouse2,3,92,0
Mouse2,3,93,1
Mouse2,3,94,0
Mouse2,3,95,1
Mouse2,3,96,0
Mouse2,3,97,1
Mouse2,3,98,1
Mouse2,3,99,1
Mouse2,3,100,1
Mouse2,3,101,1
Mouse2,3,102,1
Mouse2,3,103,0
Mouse2,3,104,1
Mouse2,3,105,1
Mouse2,3,106,1
Mouse2,3,107,0
Mouse2,3,108,1
Mouse2,3,109,0
Mouse2,3,110,1
Mouse2,3,111,1
Mouse2,3,112,1
Mouse2,3,113,1
Mouse2,3,114,1
Mouse2,3,115,1
Mouse2,3,116,0
Mouse2,3,117,1
Mouse2,3,118,0
Mouse2,3,119,1
Mouse2,3,120,1
Mouse2,3,121,1
Mouse2,3,122,1
Mouse2,4,1,0
Mouse2,4,2,1
Mouse2,4,3,1
Mouse2,4,4,1
Mouse2,4,5,1
Mouse2,4,6,1
Mouse2,4,7,1
Mouse2,4,8,1
Mouse2,4,9,1
Mouse2,4,10,1
Mouse2,4,11,0
Mouse2,4,12,0
Mouse2,4,13,1
Mouse2,4,14,1
Mouse2,4,15,1
Mouse2,4,16,1
Mouse2,4,17,1
Mouse2,4,18,0
Mouse2,4,19,0
Mouse2,4,20,0
Mouse2,4,21,1
Mouse2,4,22,1
Mouse2,4,23,1
Mouse2,4,24,1
Mouse2,4,25,1
Mouse2,4,26,1
Mouse2,4,27,1
Mouse2,4,28,1
Mouse2,4,29,1
Mouse2,4,30,1
Mouse2,4,31,1
Mouse2,4,32,1
Mouse2,4,33,1
Mouse2,4,34,1
Mouse2,4,35,1
Mouse2,4,36,0
Mouse2,4,37,0
Mouse2,4,38,1
