Fig10,A,B,,,C,,,,,,D,,,,,,,,,E,,,,,F,,,,,G,,,,,,H,,,,,,I,,,,
,,,,,%Correct,,,,,,,%Correct,,,,,,,,Reversal num,,,,,Trials/reversal,,,,,Trials,,,,,,Actual Delay,,,,,,Trials,,,,
,Days for criteria,Days for criteria,,,,,day,,,,,Trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT7,88,83,55,,,,,,,,,WT7,0.454545455,0.698795181,0.527272727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ave,111.1428571,97.71428571,96.71428571,,,,,,,,,Ave,0.70110588,0.733933921,0.690471312
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sem,6.005666259,7.72662153,8.545994009,,,,,,,,,Sem,0.061644079,0.028497386,0.048255739
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLGF1,119,114,99,,,,,,,,,NLGF1,0.714285714,0.543859649,0.595959596
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLGF2,118,112,116,,,,,,,,,NLGF2,0.508474576,0.482142857,0.629310345
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLGF3,89,112,108,,,,,,,,,NLGF3,0.404494382,0.303571429,0.37037037
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLGF4,177,124,108,,,,,,,,,NLGF4,0.734463277,0.60483871,0.583333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLGF5,107,56,84,,,,,,,,,NLGF5,0.542056075,0.589285714,0.583333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLGF6,94,88,106,,,,,,,,,NLGF6,0.638297872,0.727272727,0.698113208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLGF7,137,94,118,,,,,,,,,NLGF7,0.642335766,0.691489362,0.601694915
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ave,120.1428571,100,105.5714286,,,,,,,,,Ave,0.597772523,0.563208635,0.580302157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sem,11.2851115,8.695921321,4.319706465,,,,,,,,,Sem,0.044807195,0.053484215,0.038133157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
