Fig7,,,,,,,,,,,,,,,,,,,,,,,,,
,A,,B,,,,,C,,D,,,,,,,,,,,,,,,
,N32-2g-15F,80,80,80,80,80,80,80,80,69,73,,,,,,,,,,,,,,
,N32-2g-17F,80,80,80,80,80,80,80,80,80,80,,,,,,,,,,,,,,
,N18-2g-34F,80,80,80,80,80,80,80,80,80,80,,,,,,,,,,,,,,
,N32-2g-21F,80,80,80,80,80,80,71,80,76,79,,,,,,,,,,,,,,
,N64-2g-4F,80,80,80,80,56,80,80,71,80,66,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Ave,80,80,80,76.66666667,76,80,78.5,78.5,77.5,76.33333333,,,,,,,,,,,,,,
,Sem,0,0,0,3.333333333,4,0,1.5,1.5,1.821171784,2.347575582,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Ｎ13-2g-36F,80,80,80,80,80,80,67,65,46,20,,,,,,,,,,,,,,
,N10-2g-42F,80,80,80,80,80,80,80,80,79,59,,,,,,,,,,,,,,
,N10-2g-43F,80,80,80,80,80,80,80,80,80,80,,,,,,,,,,,,,,
,N40-2g-21F,80,80,80,80,80,80,80,71,64,45,,,,,,,,,,,,,,
,N40-2g-22F,80,80,80,80,80,80,56,80,30,26,,,,,,,,,,,,,,
,N40-2g-56F,80,80,80,80,80,80,80,78,80,38,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Ave,80,80,80,80,80,80,73.83333333,75.66666667,63.16666667,44.66666667,,,,,,,,,,,,,,
,Sem,0,0,0,0,0,0,4.150635828,2.564717875,8.588428908,9.046791942,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Incorrect,,1,1,2,3,5,8,12,16,20,24,,,,,,,,,,,,,,
,N18-2g-25F,20,16,19,18,33,27,64,42,26,39,,,,,,,,,,,,,,
,N32-2g-15F,12,17,21,14,46,47,64,31,43,43,,,,,,,,,,,,,,
,N32-2g-17F,15,12,13,54,35,43,30,33,40,32,,,,,,,,,,,,,,
,N18-2g-34F,15,10,15,33,32,22,28,36,35,31,,,,,,,,,,,,,,
,N32-2g-21F,13,12,42,50,68,76,97,56,76,56,,,,,,,,,,,,,,
,N64-2g-4F,17,14,12,31,72,29,34,40,39,33,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Ave,15.33333333,13.5,20.33333333,33.33333333,47.66666667,40.66666667,52.83333333,39.66666667,43.16666667,39,,,,,,,,,,,,,,
,Sem,1.173787791,1.087811258,4.558264777,6.631574306,7.369607256,8.093893446,11.09479357,3.675746334,6.992456253,3.890158523,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Ｎ13-2g-36F,12,16,12,30,46,82,96,81,57,41,,,,,,,,,,,,,,
,N10-2g-42F,15,10,19,38,88,62,105,74,86,60,,,,,,,,,,,,,,
,N10-2g-43F,19,20,43,46,40,50,76,79,74,49,,,,,,,,,,,,,,
,N40-2g-21F,17,20,29,37,59,91,72,73,63,46,,,,,,,,,,,,,,
,N40-2g-22F,18,12,24,48,71,77,58,57,37,17,,,,,,,,,,,,,,
,N40-2g-56F,11,15,53,54,65,69,70,86,71,51,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Ave,15.33333333,15.5,30,42.16666667,61.5,71.83333333,79.5,75,64.66666667,44,,,,,,,,,,,,,,
,Sem,1.333333333,1.668332501,6.271629241,3.562926388,7.102816343,5.996758384,7.172865536,4.090639722,6.854033687,5.977736472,,,,,,,,,,,,,,
