S15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-trial bin,VD1,,,,,,,,,VD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bin,,,,,,,,,day1,,,,,,,,,day2,,,,,,,,,day3,,,,,,,,,day4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 goki 190603,13920,3900,1860,1980,1680,4248,8832,9624,26586,12018,10269,8421,6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,5.755555556,3.538888889,2.422222222,0.844444444,0.505555556,1.783611111,5.850092593,3.738888889,4.325185185,3.597685185,3.612314815,3.094351852,3.459722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sem,1.88056171,1.685458871,1.677639803,0.231006921,0.065499034,0.302270515,2.090429288,1.025952596,1.530484306,0.512787667,1.031101549,0.650521521,1.353713495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time/trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,N,,,,O,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VD1,VD2,,,,pre-acquisition,acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,day,,,,,day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,1,2,3,4,,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7goki 190527,134.0101523,180.3061224,269.5,126.1714286,21.12676056,67.68571429,105.005618,107.7898551,111.8931298,86.40869565,102.699115,71.25663717,71.25663717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 goki 190615,68.57142857,68.9010989,42.08333333,20.28776978,16.46017699,58.55172414,137.5470588,118.189781,106.2888889,100.5583333,112.2330827,57.89215686,62.64957265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 goki 190622,73.19371728,56.52173913,18.39416058,19.70149254,17.48031496,54.31428571,132.7752809,174.2628205,104.1818182,116.0143885,77.10416667,61.20979021,69.59398496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,1.53208499,1.698494225,1.8332083,0.923114949,0.305929181,1.003065134,2.085155321,2.223569203,1.790910205,1.683230097,1.622424247,1.05754769,1.130556638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sem,0.351413172,0.656013274,1.334106603,0.589877841,0.023607598,0.065755435,0.169096611,0.344063395,0.038351765,0.142486676,0.174803181,0.06696175,0.043932966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10goki 190522,64.72222222,60.36363636,28.0952381,21.96428571,15.46391753,67.96428571,110.5932203,68.82638889,72.71126761,72.71126761,64.08396947,66.15827338,65.64748201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6goki 190603,175.6923077,135.3333333,130.5660377,51.42857143,23.50515464,84.125,231.8266667,155.5597015,81,122.3111111,148.5328467,125.4126984,150.0204082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 goki 190603,77.33333333,28.05755396,16.60714286,20,18.06451613,52.44444444,61.76223776,68.25531915,199.8947368,76.5477707,71.3125,63.79545455,62.49494949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave,1.765265907,1.243080687,0.973713437,0.518849206,0.316853268,1.136298501,2.245456249,1.625785609,1.964477802,1.508723052,1.57738509,1.418702369,1.545349109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sem,0.584626712,0.529561769,0.603729035,0.169410637,0.039484556,0.152433539,0.842577645,0.483445849,0.684712885,0.265540055,0.450425835,0.335947034,0.477736352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
